name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bishkek,2019-02-06T00:00:00,-0.5,-4,-3.1,82.36,0,0,,0,0,,10.4,277,1025.1,98.3,9.4,0,,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2019-02-06T01:00:00,-2,-8,-4,86.18,0,0,,0,0,,21.6,270,,100,4,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2019-02-06T02:00:00,-3,-9.3,-5,86.08,0,0,,0,0,,21.6,290,,100,3,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2019-02-06T03:00:00,-3.4,-7.9,-4.2,94.53,0,0,,0,0,,11.9,312,1028.6,100,1,0,,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999"
Bishkek,2019-02-06T04:00:00,-6,-12.4,-7,92.63,0,0,,0,0,,18,300,,100,1,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2019-02-06T05:00:00,-6,-12.4,-8,85.75,0,0,,0,0,,18,260,,100,1,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2019-02-06T06:00:00,-6.9,-6.9,-7.5,95.51,0,0,,0,0,,4.4,260,1033,100,0.1,0,,0,,Overcast,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2019-02-06T07:00:00,-9,-14.3,-10,92.45,0,0,,0,0,,10.8,320,,100,1,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2019-02-06T08:00:00,-10,-16.6,-12,85.29,0,0,,0,0,,14.4,350,,100,1,36.1,0.1,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2019-02-06T09:00:00,-10.7,-16.3,-11.7,92.45,10,100,snow,5.87,5.87,,10.5,290,1034.3,100,2.6,181.3,0.7,2,,"Snow, Overcast",snow,"UCFM,36911099999,38353199999"
Bishkek,2019-02-06T10:00:00,-10,-14.1,-12,85.29,0,0,,0,5.87,,7.2,310,,89,3,405.4,1.5,4,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2019-02-06T11:00:00,-10,-16.6,-12,85.29,0,0,,0,5.87,,14.4,280,,89,4,530,1.9,5,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2019-02-06T12:00:00,-9.3,-13.9,-10.8,88.93,10.97,100,snow,0,5.87,,8.5,275,1039.7,98.3,4.4,596,2.1,6,,"Snow, Overcast",snow,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2019-02-06T13:00:00,-10,-14.1,-13,78.69,0,0,,0,5.87,,7.2,290,,89,6,600.5,2.2,6,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2019-02-06T14:00:00,-9,-9,-13,72.74,0,0,,0,5.87,,3.6,292.2,,89,5,541.3,1.9,5,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2019-02-06T15:00:00,-8.3,-8.3,-10.8,81.68,0,0,,0,5.87,,4.2,45,1040.4,98,9,423.6,1.5,4,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999"
Bishkek,2019-02-06T16:00:00,-9,-12.9,-13,72.74,0,0,,0,5.87,,7.2,60,,89,8,261.1,0.9,3,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2019-02-06T17:00:00,-10,-15.5,-13,78.69,0,0,,0,5.87,,10.8,340,,89,10,79.6,0.3,1,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2019-02-06T18:00:00,-8.2,-8.2,-10.6,82.73,0,0,,0,5.87,,3.7,269,1040.2,97.1,18.4,0.1,0,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2019-02-06T19:00:00,-13,-17.6,-14,92.19,0,0,,0,5.87,,7.2,20,,50,10,0,,0,,Partially cloudy,partly-cloudy-night,"UCFM,38353199999"
Bishkek,2019-02-06T20:00:00,-13,-13,-14,92.19,0,0,,0,5.87,,3.6,238.2,,97.1,10,0,,0,,Overcast,cloudy,"UCFM,38353199999"
