name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bishkek,2022-01-01T00:00:00,3.7,1.7,-8,42.15,0,0,,0,0.62,,7.7,145,1022.7,72.5,5.7,0,,0,,Partially cloudy,partly-cloudy-night,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2022-01-01T01:00:00,3,1,-7,47.83,0,0,,0,0.6,,7.2,120,1019,0,9,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2022-01-01T02:00:00,2,-1.1,-6,55.43,0,0,,0,0.58,,10.8,110,1019,0,5,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2022-01-01T03:00:00,3.6,1.7,-7.9,42.59,0,0,,0,0.56,,7.5,155,1021.7,91.1,8.5,0,,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2022-01-01T04:00:00,1,-2.3,-5,64.25,0,0,,0,0.54,,10.8,130,1018,99.6,10,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2022-01-01T05:00:00,-1,-4.7,-5,74.28,0,0,,0,0.52,,10.8,170,1018,0,4,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2022-01-01T06:00:00,1.5,-0.7,-7.2,52.44,0,0,,0,0.5,,7.2,165,1022.1,36.4,3.9,0,,0,,Partially cloudy,partly-cloudy-night,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2022-01-01T07:00:00,-3,-6,-5,86.08,0,0,,0,0.49,,7.2,160,1019,0,3,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2022-01-01T08:00:00,-3,-7.1,-4,92.81,0,0,,0,0.47,,10.8,130,1018,0,3,5.7,0,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2022-01-01T09:00:00,0.4,0.4,-10.2,44.87,0,0,,0,0.47,,4.8,128,1022.6,28.1,18.7,93.7,0.3,1,,Partially cloudy,partly-cloudy-day,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2022-01-01T10:00:00,1,-2.3,-6,59.55,0,0,,0,0.47,,10.8,130,1019,0,7,221.4,0.8,2,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2022-01-01T11:00:00,4,0.6,-6,48.12,0,0,,0,0.47,,14.4,150,1019,0,8,324,1.2,3,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2022-01-01T12:00:00,9.8,9.8,-6.5,31.07,0,0,,0,0.47,,4.8,164,1019.7,37.1,19.2,359.9,1.3,4,,Partially cloudy,partly-cloudy-day,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2022-01-01T13:00:00,7,4.9,-3,48.98,0,0,,0,0.47,,10.8,80,1018,0,10,351,1.3,4,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2022-01-01T14:00:00,9,7.3,-3,42.76,0,0,,0,0.47,,10.8,100,1017,0,10,266.5,1,3,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2022-01-01T15:00:00,10.7,10.7,-6.6,29.16,0,0,,0,0.47,,4.2,60,1018.2,91.1,19.2,158.4,0.6,2,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2022-01-01T16:00:00,10,10,-5,34.41,0,0,,0,0.47,,3.6,110,1017,0,10,76.5,0.3,1,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2022-01-01T17:00:00,9,9,-4,39.68,0,0,,0,0.47,,0,0,1018,0,10,7.9,0,0,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2022-01-01T18:00:00,6.7,6.7,-6.2,39.28,0,0,,0,0.47,,3.6,178,1020.5,90.4,19.2,0,,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
