name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bishkek,2021-01-12T02:00:00,2,-3.3,-8,47.53,0,0,,0,1.98,,25.2,120,,12.5,10,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2021-01-12T11:00:00,3,-1.6,-7,47.83,0,0,,0,0,,21.6,120,,79.7,10,415,1.5,4,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2021-01-17T07:00:00,-3,-9.3,-9,63.29,0,0,,0,3.28,,21.6,220,,0,10,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2021-01-19T11:00:00,4,-0.4,-3,60.31,0,0,,0,2.27,,21.6,110,,0,8,305.6,1.1,3,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2021-01-19T13:00:00,8,4.4,-3,45.75,0,0,,0,2.23,,25.2,110,,27.5,10,323.9,1.2,3,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2021-01-19T14:00:00,8,4.7,-3,45.75,0,0,,0,2.21,,21.6,120,,27.5,10,264.1,1,3,,Partially cloudy,partly-cloudy-day,"UCFM,38353199999"
Bishkek,2021-01-20T13:00:00,4,-0.4,2,86.8,0,0,,0.02,1.96,,21.6,130,,50,9,426.4,1.5,4,,Partially cloudy,snow,"UCFM,38353199999"
Bishkek,2021-01-20T14:00:00,4,-0.8,2,86.8,0,0,,0.02,1.98,,25.2,120,,0,8,388.3,1.4,4,,Clear,snow,"UCFM,38353199999"
Bishkek,2021-01-20T16:00:00,5,0.9,2,80.94,0,0,,0,2.02,,21.6,120,,99.3,10,134.4,0.5,1,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-20T17:00:00,6,1.8,2,75.52,0,0,,0,2.04,,25.2,130,,98.1,10,22.4,0.1,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-20T21:00:00,4,-0.4,-1,69.78,0,0,,0.02,2.12,,21.6,110,1023.8,11,9,0,,0,,Clear,snow,"UCFM,36911099999,38353199999"
Bishkek,2021-01-20T22:00:00,3,-1.6,-1,75,0,0,,0.02,2.14,,21.6,90,,0,8,0,,0,,Clear,snow,"UCFM,38353199999"
Bishkek,2021-01-20T23:00:00,2,-2.9,-1,80.52,0,0,,0.02,2.16,,21.6,90,,0,9,0,,0,,Clear,snow,"UCFM,38353199999"
Bishkek,2021-01-22T01:00:00,4,-0.4,-2,64.95,0,0,,0,2,,21.6,110,,98.8,10,0,,0,,Overcast,cloudy,"UCFM,38353199999"
