name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bishkek,2021-01-01T00:00:00,-8.1,-8.1,-9,93.32,0,0,,0,3.86,,3.6,308,1038.1,97.3,0.1,0,,0,,Overcast,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T01:00:00,-8.4,-8.4,-8.9,96.1,0,0,,0,3.86,,3.6,198,1036.5,10,0.1,0,,0,,Clear,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T02:00:00,-9.5,-9.5,-11,88.78,0,0,,0,3.86,,3.6,201.2,,100,0,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T03:00:00,-8.5,-8.5,-9.1,94.99,0,0,,0,3.86,,3.6,80,1037.4,98.8,0.1,0,,0,,Overcast,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T04:00:00,-8.9,-8.9,-9.6,94.97,0,0,,0,3.86,,3.6,351,1037.3,99.3,2.1,0,,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T05:00:00,-10,-10,-11,92.38,0,0,,0,3.86,,3.6,100,,100,0,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T06:00:00,-8.5,-8.5,-9,96.1,0,0,,0,3.86,,3.6,268.2,1036.5,95.3,0.1,0,,0,,Overcast,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T07:00:00,-10,-10,-11,92.38,0,0,,0,3.86,,3.6,282.6,,100,0,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T08:00:00,-9,-9,-11,85.41,0,0,,0,3.86,,3.6,288.7,,100,0,7.5,0,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T09:00:00,-9,-9,-9.6,95.56,0,0,,0,3.86,,4.2,348,1037.3,99.3,2.1,96.9,0.3,1,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T10:00:00,-10,-14.1,-11,92.38,0,0,,0,3.86,,7.2,270,,100,0,248.6,0.9,2,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T11:00:00,-9,-12.9,-11,85.41,0,0,,0,3.86,,7.2,320,,100,1,367.1,1.3,4,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T12:00:00,-8.6,-8.6,-9.4,94.24,0,0,,0,3.86,,3.9,311,1040.1,96.4,1.9,447.4,1.6,4,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T13:00:00,-9,-14.3,-11,85.41,0,0,,0,3.86,,10.8,280,,100,1,466.1,1.7,5,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T14:00:00,-9,-9,-11,85.41,0,0,,0,3.86,,3.6,300.3,,100,2,411.6,1.5,4,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T15:00:00,-7.8,-7.8,-9,91.17,0,0,,0,3.86,,3.6,317,1039.7,97.3,2,300.9,1.1,3,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T16:00:00,-9,-12.9,-11,85.41,0,0,,0,3.86,,7.2,250,,100,3,149.9,0.5,1,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T17:00:00,-9,-12.9,-10,92.45,0,0,,0,3.86,,7.2,330,,100,3,15.3,0.1,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T18:00:00,-8.3,-8.3,-9.3,92.96,0,0,,0,3.86,,3.6,141,1041.6,98.5,1.4,0,,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T19:00:00,-9,-12.9,-10,92.45,0,0,,0,3.86,,7.2,10,,100,2,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T20:00:00,-9,-9,-11,85.41,0,0,,0,3.86,,3.6,258,,100,2,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T21:00:00,-8.5,-8.5,-9.1,95.09,0,0,,0,3.86,,4.2,54,1041.8,100,2,0,,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-01T22:00:00,-10,-10,-11,92.38,0,0,,0,3.86,,3.6,235,,100,1,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-01T23:00:00,-9,-12.9,-11,85.41,0,0,,0,3.86,,7.2,110,,100,1,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-02T00:00:00,-9.9,-9.9,-10.2,97.82,0,0,,0,3.86,,4.2,91,1042.2,91.9,1.1,0,,0,,Overcast,cloudy,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-02T01:00:00,-10,-14.1,-12,85.29,0,0,,0,3.86,,7.2,100,,100,0,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-02T02:00:00,-10,-15.5,-12,85.29,0,0,,0,3.86,,10.8,70,,100,0,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-02T03:00:00,-12,-12,-12.3,97.53,0,0,,0,3.86,,4.3,90,1041.1,100,0.1,0,,0,,Overcast,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-02T04:00:00,-11,-11,-13,85.17,0,0,,0,3.86,,3.6,212.8,,100,0,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-02T05:00:00,-11,-15.3,-13,85.17,0,0,,0,3.86,,7.2,300,,100,0,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-02T06:00:00,-11.7,-16.3,-12.1,96.32,0,0,,0,3.86,,7.6,208,1041.9,100,0.1,0,,0,,Overcast,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2021-01-02T07:00:00,-12,-16.4,-13,92.26,0,0,,0,3.86,,7.2,260,,100,0,0,,0,,Overcast,cloudy,"UCFM,38353199999"
Bishkek,2021-01-02T08:00:00,-12,-12,-13,92.26,0,0,,0,3.86,,3.6,300,,100,0,10.8,0,0,,Overcast,cloudy,"UCFM,38353199999"
